症狀,推薦穴位,來源,頁碼
小腸連臍痛,湧泉配陰陵泉或配陰交,針灸五輸穴應用發揮,
小腹脹滿,臨泣配內庭,針灸五輸穴應用發揮,
小腿抽筋,束骨,針灸五輸穴應用發揮,
小腿陽明部位疼痛,合谷穴,針灸五輸穴應用發揮,
少陽經之鬱火邪熱，凝滯經絡所成之瘰病,天井穴,針灸五輸穴應用發揮,
屍癆,湧泉配關元、豐隆,針灸五輸穴應用發揮,
尺骨神經痛或麻痺,靈道、神門,針灸五輸穴應用發揮,
尿路感染,太陰部位視青筋放血,針灸五輸穴應用發揮,
"尿道炎, 淋病, 陰囊水腫, 疝氣, 女子陰挺（子宮脫垂）陰癢",曲泉,針灸五輸穴應用發揮,
尿道炎、淋病、陰囊水腫等,曲泉,針灸五輸穴應用發揮,
區域性之病,經渠,針灸五輸穴應用發揮,
岔氣,二間,針灸五輸穴應用發揮,
崩漏,隱白,針灸五輸穴應用發揮,
崩漏,井穴,針灸五輸穴應用發揮,
崩漏,大敦、隱白,針灸五輸穴應用發揮,
崩漏、鼻衄,肝經穴位，如大敦穴,針灸五輸穴應用發揮,
崩漏急症,隱白配肝井大敦,針灸五輸穴應用發揮,
崩漏急症,隱白配大敦,針灸五輸穴應用發揮,
崩漏急症,隱白配肝井大敦,針灸五輸穴應用發揮,
巔頂痛（厥陰頭痛），癇證、風證,湧泉,針灸五輸穴應用發揮,
左側某點疼痛,對側同點針刺,針灸五輸穴應用發揮,
左肩陽明部位痛,右陽明經穴位條口，同側手陽明經之輸穴三間,針灸五輸穴應用發揮,
帶狀皰疹,曲池,針灸五輸穴應用發揮,
乾霍亂,刺委中出血即愈,針灸五輸穴應用發揮,
心下滿,井穴,針灸五輸穴應用發揮,
心下滿,井穴,針灸五輸穴應用發揮,
心下滿,取肺井少商、脾井隱白、心井少衝、腎井湧泉、肝井大敦、心包井中衝等陰經之井穴，陽經井穴點刺出微血,針灸五輸穴應用發揮,
心下滿,井穴,針灸五輸穴應用發揮,
心下滿,五臟井穴,針灸五輸穴應用發揮,
心下滿、腹脹,隱白配胃俞、天樞,針灸五輸穴應用發揮,
心中煩躁,,針灸五輸穴應用發揮,
心包經實證,大陵,針灸五輸穴應用發揮,
心包經虛證,中衝,針灸五輸穴應用發揮,
心外經病而髒不病,掌後銳骨之端（神門穴）,針灸五輸穴應用發揮,
心悶，鼻衄，唇喎，痰多，足痛，瘡瘍，氣蠱，胸腿痛,衝陽,針灸五輸穴應用發揮,
心悸亢進症,少府,針灸五輸穴應用發揮,
心悸失眠、心煩,勞宮,針灸五輸穴應用發揮,
心悸怔忡,,針灸五輸穴應用發揮,
心悸氣短,足三里,針灸五輸穴應用發揮,
心悸，怔忡,,針灸五輸穴應用發揮,
心情不舒,,針灸五輸穴應用發揮,
心滿痛,陰陵泉配承山,針灸五輸穴應用發揮,
心熱移於小腸致小便短赤之症,後溪,針灸五輸穴應用發揮,
心痛,京骨配內關、通裡、心俞,針灸五輸穴應用發揮,
心痛、狹心症,間使配郄門,針灸五輸穴應用發揮,
心痛翻胃,"勞宮, 少澤",針灸五輸穴應用發揮,
心痛肘顫,少海,針灸五輸穴應用發揮,
心痴呆,神門,針灸五輸穴應用發揮,
心經虛證,少沖穴,針灸五輸穴應用發揮,
心經之失眠,神門配丘墟,針灸五輸穴應用發揮,
心絞痛、心動過速、口乾、目黃、上肢尺側痛,"腕骨, 公孫",針灸五輸穴應用發揮,
心肌炎,京骨配內關、通裡、心俞,針灸五輸穴應用發揮,
心肌炎及心悸亢進、小兒抽搐、五趾盡痛等腎實症狀,湧泉穴,針灸五輸穴應用發揮,
心肺氣虛,,針灸五輸穴應用發揮,
心腎不交,,針灸五輸穴應用發揮,
心臟疾病,少陽部位視青筋放血,針灸五輸穴應用發揮,
心臟病,太沖,針灸五輸穴應用發揮,
心臟病、心火上逆之病如口瘡、眼赤等,曲澤,針灸五輸穴應用發揮,
心臟病及氣喘,足三里深針並久留針，刺血,針灸五輸穴應用發揮,
心臟病變,午時生人較易患，相關穴位未明確指定,針灸五輸穴應用發揮,
心臟病變,尺澤,針灸五輸穴應用發揮,
心腎不交，水火不濟之證，如心煩不寐、多夢遺精、心悸健忘、眩暈耳鳴、口乾咽燥、腰膝酸軟、潮熱盜汗等,少海與然谷兩穴合用,針灸五輸穴應用發揮,
心腹胸脅之滿,陰陵泉,針灸五輸穴應用發揮,
心腹胸脅之滿,陰陵泉,針灸五輸穴應用發揮,
心虛、膽寒、怔忡癲狂、發熱,少衝配曲池,針灸五輸穴應用發揮,
心血管疾病之心悸、心動過速、早搏,太淵,針灸五輸穴應用發揮,
心血管病，如心臟停搏,太沖穴,針灸五輸穴應用發揮,
急性乳腺炎、乳房紅腫,曲池,針灸五輸穴應用發揮,
急性乳腺炎、乳房紅腫或疼痛硬結,五輸穴,針灸五輸穴應用發揮,
急性扁桃體炎,商陽（點刺）、合谷、照海、列缺,針灸五輸穴應用發揮,
急性支氣管炎,經渠,針灸五輸穴應用發揮,
急性淋巴管炎,太陰部位視青筋放血,針灸五輸穴應用發揮,
急性熱性疾患,委中刺血,針灸五輸穴應用發揮,
急性疼痛,委中,針灸五輸穴應用發揮,
急性腸胃炎,少陽部位視青筋放血,針灸五輸穴應用發揮,
急性腰扭傷,曲池配動氣針法配合強捻針,針灸五輸穴應用發揮,
急性腰扭傷,支溝配合拔火罐及委中放血,針灸五輸穴應用發揮,
急性腰扭傷、胸脅挫傷,合谷透後溪,針灸五輸穴應用發揮,
急性腰扭傷、髖關節扭傷,患側合谷穴,針灸五輸穴應用發揮,
急性角膜炎,中衝點刺出血,針灸五輸穴應用發揮,
急性閃腰岔氣,後溪配人中,針灸五輸穴應用發揮,
急慢性腰痛,復溜,針灸五輸穴應用發揮,
急救復甦,足三里,針灸五輸穴應用發揮,
急病常致臉色及膚色改變，如肺炎兩顴發紅，暈針臉色發白,前者針肺經滎穴魚際，後者針心經滎穴少府強心,針灸五輸穴應用發揮,
急症痙攣抽筋,湧泉,針灸五輸穴應用發揮,
性冷感,灸本穴（至陰）,針灸五輸穴應用發揮,
悲泣癲狂,解溪,針灸五輸穴應用發揮,
驚悸怔忡,神門,針灸五輸穴應用發揮,
驚惕,,針灸五輸穴應用發揮,
意病、癲癇、精神病、中風不語、驚厥,後溪（透勞宮治驚厥，重症配足三里）,針灸五輸穴應用發揮,
感冒發熱、肺炎,三間刺血,針灸五輸穴應用發揮,
感冒咳嗽,尺澤、水金穴,針灸五輸穴應用發揮,
感冒喉痛,少商點刺出血,針灸五輸穴應用發揮,
感冒喉痛及氣喘,魚際,針灸五輸穴應用發揮,
感冒喉痛，氣喘,魚際,針灸五輸穴應用發揮,
感冒引起的後頭痛,崑崙,針灸五輸穴應用發揮,
感冒而身體沉重疼痛,太淵,針灸五輸穴應用發揮,
慢性支氣管炎,少陽部位視青筋放血,針灸五輸穴應用發揮,
慢性氣管炎,視青筋放血,針灸五輸穴應用發揮,
慢性淋證、小便不通,陰谷配腎俞、關元、陰陵泉、三陰交等,針灸五輸穴應用發揮,
"慢性結腸炎, 結腸手術後大便功能紊亂",針刺商陽，每2~3天放血1次，5次為1個療程,針灸五輸穴應用發揮,
慢性虛證,補脾法,針灸五輸穴應用發揮,
成人之感冒喘咳,經渠,針灸五輸穴應用發揮,
戰振蜷攣無力,中渚,針灸五輸穴應用發揮,
戶厥證,厲兌,針灸五輸穴應用發揮,
房勞不稱心意；婦人水蠱；胸脅脹滿,,針灸五輸穴應用發揮,
扁桃體炎,少商、商陽,針灸五輸穴應用發揮,
手及肩,足榮輸穴,針灸五輸穴應用發揮,
手指連肩相引疼,合谷太沖能救苦,針灸五輸穴應用發揮,
手掌攣緊，伸握不易,尺澤強捻速瀉,針灸五輸穴應用發揮,
手腳指端麻木,復溜,針灸五輸穴應用發揮,
手腕痛,陽陵泉,針灸五輸穴應用發揮,
手腕痛，腕痛所致之肩不上舉，踝關節扭傷，寒熱瘧疾,陽池（SJ4）,針灸五輸穴應用發揮,
手臂不能上舉,尺澤,針灸五輸穴應用發揮,
手臂拍攣筋急,尺澤,針灸五輸穴應用發揮,
手臂癰毒,中渚,針灸五輸穴應用發揮,
手臂紅腫,中渚（配液門）,針灸五輸穴應用發揮,
手足心熱,,針灸五輸穴應用發揮,
手足蠕動，甚或抽搐,,針灸五輸穴應用發揮,
手足麻木拘攣,後溪,針灸五輸穴應用發揮,
手連肩痛、手腳不利及風溼病,合谷、太沖,針灸五輸穴應用發揮,
手連肩脊痛難忍,合谷、太沖,針灸五輸穴應用發揮,
打嗝（呃逆）,太淵,針灸五輸穴應用發揮,
扭傷（側面）,關衝、商陽,針灸五輸穴應用發揮,
扭傷（後面）,至陰、少澤,針灸五輸穴應用發揮,
扭傷（或疼痛）,至陰,針灸五輸穴應用發揮,
拄杖跛足者,針之亦效,針灸五輸穴應用發揮,
指扭傷或功能障礙,,針灸五輸穴應用發揮,
掌肌攣痛、掌中熱、鵝掌風,勞宮,針灸五輸穴應用發揮,
改善血壓,足三里,針灸五輸穴應用發揮,
新舊腰痛及閃腰疼痛，年久腰痛,大都（SP2）,針灸五輸穴應用發揮,
無乳,前谷、少澤（點刺）,針灸五輸穴應用發揮,
無汗、自汗及盜汗,復溜配合谷,針灸五輸穴應用發揮,
昏厥,太沖,針灸五輸穴應用發揮,
昏迷,十指井穴,針灸五輸穴應用發揮,
暈厥、休克、中暑,關衝配人中、內關、十宣,針灸五輸穴應用發揮,
暈針,少府,針灸五輸穴應用發揮,
暈針、暈厥、昏迷,合谷、足三里,針灸五輸穴應用發揮,
暴喑,通裡,針灸五輸穴應用發揮,
暴喑、失音,靈道,針灸五輸穴應用發揮,
暴暗,心經經穴通裡,針灸五輸穴應用發揮,
暴暗,靈道穴,針灸五輸穴應用發揮,
暴暗、失音,靈道,針灸五輸穴應用發揮,
月經過多,陽陵泉,針灸五輸穴應用發揮,
月經不調,,針灸五輸穴應用發揮,
朝夕熱度懸之證如瘧疾等,經渠,針灸五輸穴應用發揮,
木不疏土，肝脾不和之病,"太沖,陽陵泉",針灸五輸穴應用發揮,
木土不和之病,太沖或陷谷,針灸五輸穴應用發揮,
木土不和之症,陷谷,針灸五輸穴應用發揮,
木土不和（肝脾不和）之病,陷谷,針灸五輸穴應用發揮,
木氣不能升,大敦,針灸五輸穴應用發揮,
本經所行筋強之病，常用治頸項強硬，閃腰等病；透過經絡及補水潤木作用，治顛頂痛尤具卓效,束骨,針灸五輸穴應用發揮,
本經所行筋強之病，巔頂痛，頸項強硬、閃腰等病,束骨,針灸五輸穴應用發揮,
"本經火熱病如扁桃體炎、咽喉炎,尿意頻數",尺澤,針灸五輸穴應用發揮,
某些精神症狀,足三里,針灸五輸穴應用發揮,
梅尼埃病,曲池,針灸五輸穴應用發揮,
梅核氣,大陵,針灸五輸穴應用發揮,
梅核氣,太沖,針灸五輸穴應用發揮,
夢魘不寧,隱白配胃井厲兌,針灸五輸穴應用發揮,
夢魘不寧,隱白配厲兌,針灸五輸穴應用發揮,
夢魘不寧,厲兌（胃）、隱白（脾）,針灸五輸穴應用發揮,
夢魘不寧,厲兌,針灸五輸穴應用發揮,
夢魘不安,厲兌、隱白,針灸五輸穴應用發揮,
正中神經麻痺,中衝放血疏暢經絡,針灸五輸穴應用發揮,
氣喘,尺澤,針灸五輸穴應用發揮,
氣喘,尺澤,針灸五輸穴應用發揮,
氣喘,尺澤,針灸五輸穴應用發揮,
氣喘,尺澤,針灸五輸穴應用發揮,
氣喘,列缺,針灸五輸穴應用發揮,
氣喘,委中配合尺澤穴刺血,針灸五輸穴應用發揮,
氣滯腰痛,大都配橫骨、復溜,針灸五輸穴應用發揮,
氣管炎、咽喉炎、氣短、痰多、出汗、掌心發熱、肩內側痛,"太淵, 偏歷",針灸五輸穴應用發揮,
氣虛說話無力、嗓子沙啞，肺脾兩虛,太淵、商丘,針灸五輸穴應用發揮,
氣逆,腹脹足腫，喘滿咳嗽，氣逆發噎,針灸五輸穴應用發揮,
氣逆病,足三里配列缺，虛喘，氣喘攻胸膈，喘急，哮喘，氣上壅,針灸五輸穴應用發揮,
水氣不能升,陰谷,針灸五輸穴應用發揮,
水氣不降，小便不通,足三里、隱白,針灸五輸穴應用發揮,
水氣凌心,,針灸五輸穴應用發揮,
水氣腫,陷谷,針灸五輸穴應用發揮,
水溼主沉重之病及黏滯之病,陰陵泉,針灸五輸穴應用發揮,
水溼病,足三里配氣海，五淋，膀胱氣滯，小便不通（配陰凌泉），水腫,針灸五輸穴應用發揮,
水濕內聚為飲，甚或泛濫為腫,土不制水相關穴位,針灸五輸穴應用發揮,
水腫,陰谷配水分與足三里,針灸五輸穴應用發揮,
水腫臍盈,陰陵泉配水分,針灸五輸穴應用發揮,
水道不通,陰陵泉,針灸五輸穴應用發揮,
治產難,針其至陰,針灸五輸穴應用發揮,
治療黃疸，頸項強硬、閃腰等病,腕骨,針灸五輸穴應用發揮,
治胸項有痛,後溪、列缺,針灸五輸穴應用發揮,
洩瀉,"曲池, 足三里, 陰陵泉",針灸五輸穴應用發揮,
洩瀉,曲池、足三里、陰陵泉,針灸五輸穴應用發揮,
洩瀉,三陰交、陰陵泉,針灸五輸穴應用發揮,
洩瀉、腹痛、偏正頭痛、痛經,陷谷,針灸五輸穴應用發揮,
洩瀉及急性細菌性痢疾,曲池,針灸五輸穴應用發揮,
渾身熱盛,腕骨,針灸五輸穴應用發揮,
渾身腫脹,行間,針灸五輸穴應用發揮,
消化不良、腹痛、嘔吐,太白配三陰交、足三里、內關等穴治療腹脹及腹痛，亦能治腹瀉，配陷谷更佳。,針灸五輸穴應用發揮,
消化系統疾病如便閉、消化不良、腹痛、嘔吐，身體疲倦時亦多取用,太白,針灸五輸穴應用發揮,
消渴之腎竭,行間、湧泉,針灸五輸穴應用發揮,
消渴腎竭,行間配湧泉,針灸五輸穴應用發揮,
消渴（脾腎兩虛）,,針灸五輸穴應用發揮,
消渴，口乾，寒熱瘧，煩悶，折傷手腕，腕痛無力持物不得，肩臂不能舉，耳中聾，耳後疼，喉痺咽乾，目紅腫，肩背風連臂肘，大便堅閉，遺癃,陽池,針灸五輸穴應用發揮,
消瘦,,針灸五輸穴應用發揮,
淋巴及免疫系統病變,亥時生人易得，相關穴位未明確指定,針灸五輸穴應用發揮,
清火熱如瀉腎,然谷配陰交,針灸五輸穴應用發揮,
清火，治療扁桃體炎、肺炎、咽喉炎,尺澤,針灸五輸穴應用發揮,
溼熱瀉痢,內庭（滎水穴）配曲池、天樞,針灸五輸穴應用發揮,
溼腳氣,陽輔配足三里、三明交,針灸五輸穴應用發揮,
漏疾、一切腹痛大便難,太白,針灸五輸穴應用發揮,
火不生土,,針灸五輸穴應用發揮,
火旺灼金,,針灸五輸穴應用發揮,
火氣不能升,勞宮,針灸五輸穴應用發揮,
煩躁易怒,,針灸五輸穴應用發揮,
煩，痛疽，口乾，頭痛（以治偏頭痛療效較佳），喉痺，舌強，耳聾。,俠溪,針灸五輸穴應用發揮,
熱病,大都配經渠尤佳，傷寒手足逆冷,針灸五輸穴應用發揮,
熱病或中風及其他原因導致的精神異常,間使,針灸五輸穴應用發揮,
熱病汗不出,大都、經渠,針灸五輸穴應用發揮,
熱病汗不出,大都更接於經渠,針灸五輸穴應用發揮,
熱病汗不出,本穴,針灸五輸穴應用發揮,
無汗振寒，痰瘧病,陷谷,針灸五輸穴應用發揮,
牙關緊閉、不省人事,針之立醒,針灸五輸穴應用發揮,
牙痛,陽溪,針灸五輸穴應用發揮,
牙痛,二間穴,針灸五輸穴應用發揮,
牙痛,商陽、厲兌,針灸五輸穴應用發揮,
牙痛及牙齒敏感、急性扁桃體炎,合谷,針灸五輸穴應用發揮,
牙痛齦腫、鼻衄、扁桃體炎、咽病、瞼腺炎,內庭（滎水穴）,針灸五輸穴應用發揮,
牙痛，偏頭痛、坐骨神經痛,臨泣、俠溪、地五會等穴位附近,針灸五輸穴應用發揮,
牙痛，咽喉痛,內庭,針灸五輸穴應用發揮,
牙痛，尤其是牙齦痛,,針灸五輸穴應用發揮,
牙痛；目昏、咽痺；寒慄、手上諸風,二間,針灸五輸穴應用發揮,
牙風面腫,合谷配頰車、足臨泣,針灸五輸穴應用發揮,
牙風面腫頰車神,合谷臨泣瀉不數,針灸五輸穴應用發揮,
牙齒痛,魚際,針灸五輸穴應用發揮,
牙齦腫痛,內庭、二間（瀉）、厲兌出血少許及合谷,針灸五輸穴應用發揮,
特漏、便秘、腹脹及腹痛,太白（SP3）,針灸五輸穴應用發揮,
生殖器病症如足腰下腹部寒痛、婦科病、膀胱生殖器腸病引起的痛症、不孕症,針刺湧泉,針灸五輸穴應用發揮,
生殖系統疾患（陰部異味、月經不調、子宮出血）、遺溺、膽石疝痛、嘔吐,行間,針灸五輸穴應用發揮,
由呼吸疾患引發之發熱,經渠,針灸五輸穴應用發揮,
由血壓亢進而發生的各種病變,尺澤,針灸五輸穴應用發揮,
畏寒肢冷，少氣懶言，精神萎靡，大便溏洩，完谷不化，或五更洩瀉，腹部隱痛、喜按，或見浮腫，甚則腹滿鼓脹，舌質淡，苔白潤，脈沉細弱,脾腎陽虛相關穴位,針灸五輸穴應用發揮,
疏肝理氣,行間,針灸五輸穴應用發揮,
疝氣,太沖,針灸五輸穴應用發揮,
瘧疾,間使配大杼、大椎應用,針灸五輸穴應用發揮,
